zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info,newConstructionType,videoCount
2001534,1425 W 28th St APT 322,55408,Minneapolis,MN,44.95214,-93.29956,285000,2,2,1640,CONDO,FOR_SALE,-1,FALSE,FALSE,280300,1300,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,285000,TRUE,FALSE,FALSE,USD,USA,151000,,,1.66781E+12,"$20,000 (Nov 7)",-20000,Apt 322,,,,
1846733,5353 47th Ave S,55417,Minneapolis,MN,44.905636,-93.20595,290000,2,3,1094,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,285300,1900,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,290000,TRUE,FALSE,FALSE,USD,USA,247000,5227.2,sqft,,,,,,,,
1712956,3812 Lyndale Ave N,55412,Minneapolis,MN,45.02432,-93.287636,329900,2,3,1302,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,325200,2398,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,329900,TRUE,FALSE,FALSE,USD,USA,149000,9583.2,sqft,,,,,,,,
1848764,5349 Beard Ave S,55410,Minneapolis,MN,44.905636,-93.32354,810000,4,4,3430,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,805200,2499,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,810000,TRUE,FALSE,FALSE,USD,USA,587000,5227.2,sqft,1.66876E+12,"$10,000 (Nov 18)",-10000,,,,,
1840033,1802 Bryant Ave N,55411,Minneapolis,MN,44.99757,-93.290764,230000,3,3,1281,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,225100,1699,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,230000,TRUE,FALSE,FALSE,USD,USA,212000,4356,sqft,,,,,,,,
1736974,3441 34th Ave S,55406,Minneapolis,MN,44.940014,-93.22258,299900,1,2,1120,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,294902,1499,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,299900,TRUE,FALSE,FALSE,USD,USA,258000,5227.2,sqft,,,,,,,,
1763760,2911 Upton Ave N,55411,Minneapolis,MN,45.009903,-93.31489,193000,2,3,1398,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,188000,1708,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,193000,TRUE,FALSE,FALSE,USD,USA,206000,10454.4,sqft,1.66841E+12,"$7,000 (Nov 14)",-7000,,,,,
1873820,3412 55th St E,55417,Minneapolis,MN,44.90384,-93.222115,255000,2,2,1278,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,250000,1599,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,255000,TRUE,FALSE,FALSE,USD,USA,231000,6969.6,sqft,,,,,,,,
1805676,1938 McKinley St NE,55418,Minneapolis,MN,45.008945,-93.228546,295000,3,3,1516,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,290000,1998,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,295000,TRUE,FALSE,FALSE,USD,USA,248000,5227.2,sqft,1.66859E+12,"$15,000 (Nov 16)",-15000,,,,,
2001132,2538 Humboldt Ave S APT 5,55405,Minneapolis,MN,44.956116,-93.29865,375000,1,3,1651,CONDO,FOR_SALE,-1,FALSE,FALSE,369900,1998,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,375000,TRUE,FALSE,FALSE,USD,USA,366000,0.41,acres,,,,Apt 5,,,,
1791767,4241 10th Ave S,55407,Minneapolis,MN,44.925625,-93.25963,299900,1,2,1324,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,294700,1794,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,299900,TRUE,FALSE,FALSE,USD,USA,294000,5227.2,sqft,1.66737E+12,"$25,100 (Nov 2)",-25100,,,,,
1828872,4925 2nd Ave S,55419,Minneapolis,MN,44.913387,-93.27381,239900,1,2,714,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,234700,1394,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,239900,TRUE,FALSE,FALSE,USD,USA,205000,5227.2,sqft,,,,,,,,
88833661,3104 W Lake St UNIT 305,55416,Minneapolis,MN,44.94893,-93.319,324900,2,2,1271,CONDO,FOR_SALE,-1,FALSE,FALSE,319591,1924,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,324900,TRUE,FALSE,FALSE,USD,USA,336000,2.26,acres,1.66495E+12,"$14,100 (Oct 5)",-14100,Unit 305,,,,
1920057,5424 25th Ave S,55417,Minneapolis,MN,44.9045,-93.2365,379000,2,5,1570,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,373600,2249,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,379000,TRUE,FALSE,FALSE,USD,USA,291000,5227.2,sqft,1.66798E+12,"$46,000 (Nov 9)",-46000,,,,,
1943986,400 Groveland Ave APT 311,55403,Minneapolis,MN,44.96616,-93.28525,159900,2,2,978,CONDO,FOR_SALE,-1,FALSE,FALSE,154200,1594,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,159900,TRUE,FALSE,FALSE,USD,USA,202000,,,1.6691E+12,"$5,100 (Nov 22)",-5100,Apt 311,,,,
