zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,providerListingID,newConstructionType,unit,videoCount,openHouse,open_house_info
2062237203,11283 Crestbury Dr,55129,Saint Paul,MN,44.934208,-92.87677,399990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,394839,2392,{'is_newHome': True},FALSE,FALSE,FOR_SALE,399990,TRUE,TRUE,FALSE,USD,USA,,2613.6,sqft,1.67E+12,"$13,890 (Nov 7)",-13890,28977951,BUILDER_SPEC,,,,
299618678,3257 Mulberry Bay,55129,Woodbury,MN,44.901463,-92.87758,559900,3,3,2098,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,554715,2350,{'is_newHome': True},FALSE,FALSE,FOR_SALE,559900,TRUE,FALSE,FALSE,USD,USA,114800,8712,sqft,1.65E+12,,5000,,NEW_CONSTRUCTION_TYPE_OTHER,,,,
88936449,10527 Bay View Ln,55129,Woodbury,MN,44.94087,-92.89285,346000,3,3,2294,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,340551,2400,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,346000,TRUE,FALSE,FALSE,USD,USA,265700,2178,sqft,1.67E+12,"$8,000 (Oct 27)",-8000,,,,,,
316356642,4394 Monarch Dr,55129,Woodbury,MN,44.884872,-92.90398,549900,2,2,1855,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,544300,2562,{'is_newHome': True},FALSE,FALSE,FOR_SALE,549900,TRUE,FALSE,FALSE,USD,USA,130500,8276.4,sqft,1.67E+12,"$35,000 (Oct 9)",-35000,,BUILDER_SPEC,,,,
121652339,1610 Bluewater Ln,55129,Woodbury,MN,44.926857,-92.879906,749000,4,5,3574,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,743352,4125,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,749000,TRUE,FALSE,FALSE,USD,USA,530500,0.25,acres,,,,,,,,,
2061732043,11265 Crestbury Dr,55129,Saint Paul,MN,44.9316,-92.87728,374990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,369109,2469,{'is_newHome': True},FALSE,FALSE,FOR_SALE,374990,TRUE,TRUE,FALSE,USD,USA,,0.05,sqft,1.67E+12,"$20,000 (Nov 6)",-20000,28977951,BUILDER_SPEC,,,,
316355944,4479 Atlas Trl,55129,Woodbury,MN,44.88495,-92.905396,574900,3,3,2376,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,569000,2497,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,574900,TRUE,FALSE,FALSE,USD,USA,431800,10018.8,sqft,,,,,,,,,
88930411,1366 Whistler Point Cir,55129,Woodbury,MN,44.928974,-92.8873,775000,4,5,4224,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,768900,4363,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,775000,TRUE,FALSE,FALSE,USD,USA,670600,0.38,acres,1.67E+12,"$24,000 (Nov 5)",-24000,,,,,,
68290146,10075 City Walk Dr UNIT 105,55129,Woodbury,MN,44.943295,-92.901924,324900,3,3,1870,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,318700,2400,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,324900,TRUE,FALSE,FALSE,USD,USA,227100,0.27,acres,1.67E+12,"$10,100 (Nov 19)",-10100,,,Unit 105,,,
2070104451,1485 Corral Alco,55125,Saint Paul,MN,,,538000,4,5,3092,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,531200,2896,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,538000,TRUE,FALSE,FALSE,USD,USA,,0.52,acres,1.67E+12,"$6,000 (Nov 10)",-6000,,,,,,
88932230,11376 Eagle View Ter,55129,Woodbury,MN,44.913605,-92.87552,599900,4,5,3292,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,593100,3312,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,599900,TRUE,FALSE,FALSE,USD,USA,448900,0.33,acres,1.67E+12,"$9,100 (Nov 9)",-9100,,,,,,
316356631,4481 Monarch Dr,55129,Woodbury,MN,44.884502,-92.90534,479900,2,2,1643,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,472894,2084,{'is_newHome': True},FALSE,FALSE,FOR_SALE,479900,TRUE,FALSE,FALSE,USD,USA,145000,6534,sqft,1.67E+12,"$10,000 (Nov 8)",-10000,,BUILDER_SPEC,,,,
88926794,11350 Eagle View Ter,55129,Woodbury,MN,44.911926,-92.87568,659900,4,5,4001,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,652567,3565,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,659900,TRUE,FALSE,FALSE,USD,USA,508900,8276.4,sqft,1.67E+12,"$15,000 (Nov 4)",-15000,,,,,,
316356639,4370 Monarch Dr,55129,Woodbury,MN,44.885303,-92.90398,519900,2,2,1803,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,511746,2104,{'is_newHome': True},FALSE,FALSE,FOR_SALE,519900,TRUE,FALSE,FALSE,USD,USA,130500,7405.2,sqft,1.67E+12,"$20,000 (Nov 23)",-20000,,BUILDER_SPEC,,,,
