zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info
1710446,8412 3rd Ave S,55420,Bloomington,MN,44.851162,-93.2737,269000,1,2,803,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,269000,TRUE,FALSE,FALSE,USD,USA,205500,10018.8,sqft,,,,,,
2065702859,5140 W 102nd St APT 102,55437,Minneapolis,MN,44.81974,-93.34711,274900,2,3,1296,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,274900,TRUE,FALSE,FALSE,USD,USA,,4.93,acres,,,,Apt 102,,
1871936,10309 Scarborough Rd,55437,Bloomington,MN,44.816277,-93.347145,275000,3,3,1820,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,275000,TRUE,FALSE,FALSE,USD,USA,255300,0.28,acres,1.66789E+12,"$15,000 (Nov 8)",-15000,,,
82645375,8161 33rd Ave S UNIT 305,55425,Bloomington,MN,44.855972,-93.22481,280000,1,1,832,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,280000,TRUE,FALSE,FALSE,USD,USA,222400,2.9,acres,1.66642E+12,"$5,000 (Oct 22)",-5000,Unit 305,,
1734496,8121 34th Ave S UNIT 103,55425,Bloomington,MN,44.856735,-93.22096,284500,2,2,1800,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,284500,TRUE,FALSE,FALSE,USD,USA,222000,1.98,acres,1.66789E+12,"$14,500 (Nov 8)",-14500,Unit 103,,
1771394,9124 Emerson Ave S,55420,Bloomington,MN,44.837803,-93.29532,290000,1,3,1077,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,290000,TRUE,FALSE,FALSE,USD,USA,250900,0.26,acres,1.66945E+12,"$10,000 (Nov 26)",-10000,,,
1746538,8620 Poplar Bridge Curv,55437,Bloomington,MN,44.846676,-93.33609,315000,1,3,1478,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,315000,TRUE,FALSE,FALSE,USD,USA,289400,0.26,acres,1.66867E+12,"$10,000 (Nov 17)",-10000,,,
1709903,8206 Blaisdell Ave S,55420,Bloomington,MN,44.854828,-93.27998,329900,2,3,2228,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,329900,TRUE,FALSE,FALSE,USD,USA,280600,7840.8,sqft,1.66824E+12,"$10,000 (Nov 12)",-10000,,,
1817687,9619 Portland Ave S,55420,Bloomington,MN,44.82892,-93.267944,350000,2,3,2032,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,350000,TRUE,FALSE,FALSE,USD,USA,260000,0.27,acres,,,,,,
1735120,8464 Little Rd,55437,Bloomington,MN,44.849247,-93.33654,369900,2,3,2174,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,369900,TRUE,FALSE,FALSE,USD,USA,308700,0.25,acres,,,,,,
1898486,40 Norman Ridge Dr,55437,Bloomington,MN,44.83695,-93.353645,385000,3,4,2982,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,"{'is_openHouse': True, 'is_FSBA': True}",FALSE,FALSE,FOR_SALE,385000,TRUE,FALSE,FALSE,USD,USA,298900,0.52,acres,1.6685E+12,"$30,000 (Nov 15)",-30000,,Mon. 1-3pm,"{'open_house_showing': [{'open_house_start': 1669669200000, 'open_house_end': 1669676400000}]}"
2061625601,10424 Ewing Rd S,55431,Minneapolis,MN,44.815556,-93.32904,399900,3,5,2500,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399900,TRUE,FALSE,FALSE,USD,USA,,0.33,acres,1.66426E+12,"$15,100 (Sep 27)",-15100,,,
1836114,9944 Humboldt Ave S,55431,Bloomington,MN,44.822887,-93.29911,399900,2,4,2394,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399900,TRUE,FALSE,FALSE,USD,USA,288300,0.28,acres,,,,,,
1746903,9116 Poplar Bridge Rd,55437,Bloomington,MN,44.83897,-93.34514,425000,3,4,1963,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,425000,TRUE,FALSE,FALSE,USD,USA,329900,0.34,acres,1.66841E+12,"$20,000 (Nov 14)",-20000,,,
1846506,9848 Brookside Ave S,55431,Bloomington,MN,44.82469,-93.316216,425000,2,3,2431,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,425000,TRUE,FALSE,FALSE,USD,USA,355100,0.47,acres,1.66824E+12,"$25,000 (Nov 12)",-25000,,,
2060828536,7601 W 111th St,55438,Minneapolis,MN,44.803986,-93.383194,430000,3,4,2294,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,430000,TRUE,FALSE,FALSE,USD,USA,,6534,sqft,,,,,,
1967011,5213 W 111th St,55437,Bloomington,MN,44.801773,-93.34648,495000,3,4,3273,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,495000,TRUE,FALSE,FALSE,USD,USA,422000,0.25,acres,1.66564E+12,"$15,000 (Oct 13)",-15000,,,
1992405,6932 W 105th St,55438,Bloomington,MN,44.814106,-93.37355,495000,2,4,3376,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,495000,TRUE,FALSE,FALSE,USD,USA,458600,0.26,sqft,,,,,,
1734773,4932 82nd St W,55437,Bloomington,MN,44.85506,-93.34327,549900,5,4,3678,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,549900,TRUE,FALSE,FALSE,USD,USA,432100,0.31,acres,,,,,,
2067344329,8122 W 109th St,55438,Minneapolis,MN,,,575000,4,4,3130,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,575000,TRUE,FALSE,FALSE,USD,USA,,0.47,acres,1.66876E+12,"$20,000 (Nov 18)",-20000,,,
1992198,10277 Colorado Rd,55438,Bloomington,MN,44.817543,-93.3606,600000,4,4,4301,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,600000,TRUE,FALSE,FALSE,USD,USA,527900,0.31,acres,1.6685E+12,"$50,000 (Nov 15)",-50000,,,
1851666,8301 Creekside Cir APT 840,55437,Bloomington,MN,44.85467,-93.35939,1199000,3,3,3745,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,1199000,TRUE,FALSE,FALSE,USD,USA,983400,1.49,acres,1.66616E+12,"$101,000 (Oct 19)",-101000,Apt 840,,
1851667,8301 Creekside Cir APT 910,55437,Bloomington,MN,44.85467,-93.35939,1200000,2,2,3805,CONDO,FOR_SALE,-1,FALSE,FALSE,,,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,1200000,TRUE,FALSE,FALSE,USD,USA,968000,1.49,acres,,,,Apt 910,,
